scaffold,n_molecules,split
c1ccc(-c2ccc3ccccc3n2)cc1,11,train
c1ccc(OCCn2ccnc2)cc1,11,train
O=C1NC=C[C@@H](c2ccccc2)N1,11,train
O=C(Nc1ccccc1)c1nc2ncccn2n1,11,train
O=C(COc1ccccc1)N1CCNCC1,11,train
c1ccc2occc2c1,11,train
c1ccc2c(c1)CCCC2,11,train
c1ccn2ccnc2c1,10,train
c1ccc(-c2ccco2)cc1,10,train
c1ccc(-c2noc(C3CCNCC3)n2)cc1,10,train
c1ccc(-c2cc[nH]n2)cc1,10,train
O=c1[nH]ncc2ccccc12,10,train
O=C1CC2(CCCC2)CC(=O)N1,10,train
c1coc(CNC2CC2)n1,10,train
O=c1ccc2ccccc2[nH]1,10,train
O=c1[nH]c(=O)c2nccnc2[nH]1,10,train
O=C1[C@H]2CC=CC[C@@H]2C(=O)N1c1ccccc1,10,train
c1ccc(-c2cc3ccccc3[nH]2)cc1,10,train
O=C(COc1ccccc1)NN=Cc1ccccc1,10,train
O=C1[C@@H]2CC=CC[C@H]2C(=O)N1c1ccccc1,10,train
c1ccn2c(NC3CCCCC3)cnc2c1,10,train
O=C1C=CC(=O)c2ccccc21,9,train
c1ccc(CNc2cnc3ccccn23)cc1,9,train
c1ccc(N2CCNCC2)cc1,9,train
c1ccc(C2Cc3ccccc3N2)cc1,9,train
C1=CC2=CCCCC2CC1,9,train
O=C(CNC(=O)C1CC1)Nc1ccon1,9,train
O=C(NC1CCCCC1)c1ccccc1,9,train
c1ccc2nccnc2c1,9,train
O=C(CNCC1CC1)Nc1ccon1,9,train
O=C1C=CC(=O)N1c1ccccc1,9,train
O=C(Nc1ccccc1)N(Cc1ccc[nH]1)C1CC1,9,train
C1CCCC1,9,train
O=C(Nc1ccccc1)Nc1ccccc1,9,train
C1=CC[C@@H](c2ccccc2)CC1,9,train
c1ccc(Nc2cnc3ccccn23)cc1,9,train
c1c[nH]cn1,9,train
c1ccc(Cn2cccc2)cc1,9,train
O=C(COC(=O)c1ccccc1)c1ccccc1,9,train
c1ccc(-c2noc([C@@H]3CCCN3)n2)cc1,8,train
O=C(NCc1ccncc1)c1ccccc1,8,train
O=C(CNC(=O)c1ccccc1)Nc1ccon1,8,train
c1ccc(OCCCn2cnc3ccccc32)cc1,8,train
O=C(NN=C1CCCCC1)c1ccccc1,8,train
O=C(CNC(=O)C1CCC1)Nc1ccon1,8,train
O=C(Nc1ccccc1)N1CCOCC1,8,train
C1=CC[C@H](c2ccccc2)CC1,8,train
c1ccc(CN2CCNCC2)cc1,8,train
O=c1cc[nH]n1-c1ccccc1,8,train
c1ccc(-c2ccno2)cc1,8,train
c1ccc(-c2noc([C@H]3CCCN3)n2)cc1,8,train
c1ccc(C2CCC2)cc1,8,train
c1ccc2nc3c(cc2c1)CCCC3,8,train
O=C(NCCc1ccccc1)c1ccccc1,8,train
O=C1CC=NN1c1ccccc1,8,train
O=C(CC1CCCC1)Nc1ccccc1,8,train
C1CCNC1,8,train
c1ccc(-n2cnnn2)cc1,8,train
c1ccc(-c2ccnc3c2CCC3)cc1,8,train
c1ncc2ncn(C3CCCO3)c2n1,8,train
O=C(Nc1ncccn1)c1ccccc1,8,train
O=C1NCc2ccccc21,8,train
c1ccc(Cn2ccc3ccccc32)cc1,8,train
c1ccc(CNc2ccccc2)cc1,8,train
C1=CC2=CCNCC2CC1,8,train
O=C(CNC(=O)c1ccco1)Nc1ccon1,8,train
O=C(Cc1ccccc1)n1cnc2ccccc21,8,train
c1ccc(Cc2ccco2)cc1,8,train
c1ccc2c(c1)CCC1C2CCC2CCCC21,8,train
c1ccc(-c2cnccn2)cc1,7,train
O=C(COc1ccccc1)NN=C1CCCC1,7,train
c1ccc(C2CC2)cc1,7,train
O=C(C=Cc1ccco1)Nc1ccccc1,7,train
O=c1c2ccccc2ncn1-c1ccccc1,7,train
O=C(c1ccccc1)N1CCCC1,7,train
c1ccc(-c2ccn(-c3ccccc3)n2)cc1,7,train
O=c1[nH]ccc2ccccc12,7,train
O=C1N=c2ccccc2=C1Nc1ccccc1,7,train
O=C(Nc1nnn[nH]1)c1ccccc1,7,train
O=C1c2ccccc2-c2ccccc21,7,train
c1ccc(Cn2cnc3ccccc32)cc1,7,train
O=C(OCCN1CCOCC1)c1ccccc1,7,train
c1ccc2c(c1)nc(N1CCCCC1)c1nncn12,7,train
C1COCCN1,7,train
c1ccc2nc(N3CCOCC3)ccc2c1,7,train
O=C(NCc1ccc[nH]1)c1ccccc1,7,train
O=C(Nc1ccccc1)C1CC1,7,train
c1ccc(OCCn2ccc3ccccc32)cc1,7,train
O=C(Nc1ccncc1)c1ccccc1,7,train
c1ccc(N2CCCCC2)cc1,7,train
O=C(COc1ccccc1)n1cccn1,7,train
O=C1c2ccccc2C(=O)N1c1ccccc1,7,train
O=C(C1CCCCC1)N1CCCCC1,7,train
O=C(COc1ccccc1)Nc1ccccn1,7,train
O=C(NCc1ccc[nH]1)Nc1ccccc1,7,train
O=C(Cc1ccccc1)N1CCCCC1,7,train
O=C(NNC(=O)c1ccccc1)c1ccccc1,7,train
O=C(Cc1ccccc1)NC1CCCCC1,7,train
O=C(CNC1CC1)Nc1ccon1,7,train
O=C(NN=Cc1ccccc1)c1ccccc1,7,train
O=C(/C=C/c1ccco1)Nc1ccccc1,6,train
c1ccc(-c2cnc3ccccc3n2)cc1,6,train
O=C(Nc1ccccc1)[C@H]1CC=CCC1,6,train
O=C1NC(=O)C(c2ccccc2)C(=O)N1,6,train
O=c1[nH]c2ccccc2o1,6,train
c1ccc(Cc2c[nH]c3ccccc23)cc1,6,train
O=C(NCCC(=O)N1CCCC1)c1ccoc1,6,train
O=C1NC(=O)c2cccc3cccc1c23,6,train
c1ccc(-c2ncccn2)cc1,6,train
O=C1OCc2ccccc21,6,train
O=c1ccc2cc3ccoc3cc2o1,6,train
O=C(Nc1ccccc1)[C@@H]1CC=CCC1,6,train
O=c1nc[nH]c2c1ncn2C1CCCO1,6,train
c1ccc(Nc2ncncn2)cc1,6,train
c1ccc(CCCN2CCCCC2)cc1,6,train
O=C(NC1CC1)c1coc(CNC2CC2)n1,6,train
O=C(Nc1ccccc1)C1CCOC1=O,6,train
c1ccc(OCCCN2CCNCC2)cc1,6,train
O=c1[nH]c(=O)c2cccnc2[nH]1,6,train
c1ccc2nc3ccccc3cc2c1,6,train
c1ccc2c(c1)[nH]c1ccccc12,6,train
c1ccc(CCCc2ccccc2)cc1,6,train
O=C1CC(c2ccccc2)Oc2ccccc21,6,train
C1CO1,6,train
c1cnc2ccnn2c1,6,train
O=C(Cc1ccccc1)N1C=NCC1,6,train
O=c1ccnc2cc(-c3ccccc3)[nH]n12,6,train
c1ccc2c(c1)ccc1ccc3ccccc3c12,6,train
O=C(COc1ccccc1)N1CCOCC1,6,train
O=c1nc[nH]c2c1NCCN2,6,train
O=c1[nH]cnc2ccccc12,6,train
O=c1nc(-c2ccccc2)[nH]c2c1CNCC2,6,train
c1ccc2c(c1)CCCO2,6,train
C1CCC2C(C1)CCC1C3CCCC3CCC21,6,train
O=C(CCNC(=O)c1ccoc1)NC1CC1,6,train
O=C(Cc1ccccc1)NC1CCCCCCC1,6,train
O=C(Cc1ccccc1)NCc1ccccc1,6,train
O=C(NCc1ncco1)C1CC1,6,train
c1ccc(CNc2ccccn2)cc1,6,train
C1CNCCN1,6,train
O=C(c1ccccc1)N(Cc1ccc[nH]1)C1CC1,6,train
c1ccc(Cc2nc(-c3ccccc3)no2)cc1,6,train
O=c1[nH]cnc2c1[nH]c1ccccc12,6,train
c1coc(C2CCC2)c1,6,train
O=C(COc1ccccc1)n1cnc2ccccc21,5,train
O=C1[C@@H]2[C@H](C(=O)N1c1ccccc1)[C@H]1C=C[C@@H]2C1,5,train
c1ccc(OCCCNC2CCCCC2)cc1,5,train
C1=CCCC=C1,5,train
O=c1[nH]c(=O)c2c(=O)cc[nH]c2[nH]1,5,train
O=C1NN=CC1=Cc1ccc(-c2ccccc2)o1,5,train
O=C(Nc1ccccc1)Nc1ccccn1,5,train
O=C(C=Cc1ccccc1)N1CCCCC1,5,train
O=c1oc2ccccc2n1Cc1ccccc1,5,train
O=C(c1ccccc1)N1CCOCC1,5,train
O=C(C=CNc1ccccc1)c1ccccc1,5,train
c1ccc2c(OCCN3CCCCC3)cccc2c1,5,train
c1ccc2c(c1)ccc1ccccc12,5,train
c1ccc2c(c1)CCC2,5,train
c1ccc(CCCN2CCOCC2)cc1,5,train
C1CC2CNCC1C2,5,train
O=c1c2c(nc3cc(-c4ccccc4)[nH]n13)CCCC2,5,train
O=C(CC1C(=O)Nc2ccccc21)c1ccccc1,5,train
O=C(COc1ccccc1)NC1CCCCCCC1,5,train
O=c1[nH]c2ccccc2[nH]1,5,train
O=c1cc[nH]c2ccccc12,5,train
O=C(Nn1cnnc1)c1ccccc1,5,train
O=C1CC2(CCCC2)CC(=O)N1c1ccccc1,5,train
O=C1NC(=O)C2C3C=CC(C3)C12,5,train
c1ccc(Nc2ccc3ccccc3n2)cc1,5,train
c1ccc(-c2nc3ccccc3o2)cc1,5,train
O=C1CCCC=C1C(=O)Cc1ccccc1,5,train
O=C1NC(=O)/C(=C\c2ccccc2)N1,5,train
c1ccc(CNCc2ccccc2)cc1,5,train
c1coc(-c2ccncc2)c1,5,train
c1ccc(OCCCN2CCCCC2)cc1,5,train
O=C(NCCC(=O)N1CCCCC1)c1ccoc1,5,train
C1=CCC(c2ccccc2)CC1,5,train
c1ccc(Cn2cccn2)cc1,5,train
O=c1nc[nH]c2ccccc12,5,train
O=C(Nc1ccccc1)C1CCCN1,5,train
c1ccc(Cn2cccc2CNC2CC2)cc1,5,train
c1c[nH]c(-c2cc[nH]n2)c1,5,train
c1cncnc1,5,train
c1ccc2c(c1)CCc1ccccc1N2,5,train
O=C(COc1ccccc1)Nc1ccncc1,5,train
O=C(Nc1ccccc1)c1cccnc1,5,train
O=C1CCC(c2ccccc2)C1,5,train
c1ccc(OC2CCCCO2)cc1,5,train
c1ccc2c(c1)CC1NCCC23CCCCC13,5,train
N=c1cnc(-c2ccccc2)c[nH]1,5,train
C1=CC(c2ccccc2)=CCC=N1,5,train
O=C(CNC(=O)C1CCCC1)Nc1ccon1,5,train
O=C(NC=Cc1ccccc1)c1ccccc1,5,train
O=C1C=C2CCCCC2CC1,5,train
c1ccc(-c2ccnc(-c3ccccn3)c2)cc1,5,train
O=C(c1ccccc1)N1CCC=N1,5,train
O=C1CCCC=C1C(=O)c1ccccc1,5,train
O=C1N[C@H]2NC(=O)N[C@H]2N1,4,train
O=C(c1ccccc1)C1CCOCC1,4,train
c1ccc(Oc2ncccn2)cc1,4,train
O=C(c1ccccc1)N1CCN(C2CCCCC2)CC1,4,train
c1ccc(-c2ccnc3c2CCCCC3)cc1,4,train
c1ccc2c(c1)C[C@H]1NCCc3cccc-2c31,4,train
C(=Nc1ccccc1)Nc1ccccc1,4,train
C=C1CC2CCC1(C(=O)Nc1ccccc1)C2,4,train
c1ccc(Nc2ccc3ccccc3c2)cc1,4,train
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1,4,train
C=C1C(=O)NN(c2ccccc2)C1=O,4,train
c1ccc(CC2CC2)cc1,4,train
O=C(CCCc1ccccc1)Nc1ccccc1,4,train
c1ccc(-c2noc([C@@H]3CCCCN3)n2)cc1,4,train
O=C1C[C@H](NC2CCCCC2)C(=O)N1c1ccccc1,4,train
O=C(OC1CCNCC1)c1ccccc1,4,train
O=C(Cc1ccccc1)Nc1ccccn1,4,train
O=C(CN(C(=O)c1ccccc1)C1CC1)Nc1ccon1,4,train
O=C(OCc1ccccc1)c1ccccc1,4,train
O=C(Nc1ccccc1)NC1CCCCC1,4,train
O=C1NC=CC1=Cc1ccccc1,4,train
C1=COCCC1,4,train
O=C1C=C(Nc2ccccc2)CCC1,4,train
O=C1C=CC(=O)C=C1,4,train
c1ccc(N=Nc2cccc3ccccc23)cc1,4,train
C1CCC(NC2CCCCC2)CC1,4,train
O=C(COc1ccccc1)NC1CCCCCC1,4,train
O=C(CCc1ccccc1)c1ccccc1,4,train
C(=NNc1cnco1)c1ccco1,4,train
O=C(NCc1cccnc1)c1ccccc1,4,train
O=C(Nc1cccnc1)c1ccccc1,4,train
c1ccc(-c2ccnc(-c3cccnc3)c2)cc1,4,train
O=C1C[C@@H](NC2CCCCC2)C(=O)N1c1ccccc1,4,train
c1coc(-c2nc3ccccn3c2NC2CCCCC2)c1,4,train
c1ccc(CNC2(c3ccccc3)CCCC2)cc1,4,train
C1CCN(CC2OCCCO2)CC1,4,train
c1ccc(-c2cnn3cccnc23)cc1,4,train
c1ccc(-n2cncn2)cc1,4,train
c1ccc(CC2CCOCC2)cc1,4,train
C=C(c1ccccc1)c1ccccc1,4,train
O=C(C=Cc1ccccc1)Oc1ccccc1,4,train
c1ccc(N=c2ccc3ccccc3[nH]2)cc1,4,train
O=C(COc1ccccc1)NCCCn1ccnc1,4,train
c1ccc(OCc2ccco2)cc1,4,train
O=C(NN=Cc1ccccc1)C1CCCCC1,4,train
c1ccc2c(c1)CCCN2,4,train
c1ccc2c(c1)Cc1cccnc1-2,4,train
O=C1C=C(Nc2ccccc2)C(=O)N1,4,train
c1ccc2c(c1)cnn1cnnc21,4,train
O=C(Nc1ccccc1-n1cccc1)c1ccccc1,4,train
c1ccc2c(c1)-c1cccc3cccc-2c13,4,train
O=C(COc1ccccc1)Nc1cccnc1,4,train
O=c1cc[nH]cn1,4,train
O=C(COc1ccccc1)Nc1ccon1,4,train
O=C(Cn1ccc2ccccc21)N1CCCCC1,4,train
c1ccc(N2CCCC2)cc1,4,train
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,4,train
c1ncc2[nH]cnc2n1,4,train
O=C(c1cnccn1)N1CCCCC1,4,train
c1ccc(-c2cc3ncccn3n2)cc1,4,train
O=C(CCC1CCCCC1)NCc1ccccc1,4,train
O=C(c1ccccc1)c1c[nH]cc1-c1ccccc1,4,train
C1=CC(c2ccccc2)C=CO1,4,train
c1ccc(CC2=NCCN2)cc1,4,train
c1cc2ccc3cccc4ccc(c1)c2c34,4,train
O=C(c1ccco1)N1CCCCC1,4,train
O=C1NC(=O)C2(CCCCCC2)N1,4,train
O=c1[nH]c(=O)c2nc[nH]c2[nH]1,4,train
c1ccn2cccc2c1,4,train
O=C(Nc1ccccc1)c1ccccn1,4,train
c1ccc(-c2ccn[nH]2)cc1,4,train
c1ccc(-c2cc(-c3ccc[nH]3)ccn2)cc1,4,train
O=C1C=CC(=O)N1Cc1ccccc1,4,train
C1CC1,4,train
O=C(Cc1cc(=O)[nH][nH]1)NN=Cc1ccccc1,4,train
O=C(Nc1ccccc1)c1cccc2ccccc12,4,train
C1=Cc2ccccc2CN1,4,train
O=C1NCC(c2ccccc2)O1,4,train
c1ccc(-c2cn3ccccc3n2)nc1,4,train
c1ccc(-c2ccnc(-c3ccccc3)c2)cc1,4,train
O=C(COc1ccccc1)NCC1CCCO1,4,train
N=c1[nH]c2ccccc2n1CCOc1ccccc1,4,train
O=c1cnc2c(=O)[nH]c(=O)[nH]c2[nH]1,4,train
c1cn[nH]c1,4,train
C(=C\c1ccccc1)/c1ccccc1,4,train
O=C(NC=Cc1ccncc1)c1ccccc1,4,train
c1ccc(Cn2nnc3ccccc32)cc1,4,train
O=C(Oc1ccc2ccc(=O)oc2c1)c1ccco1,4,train
O=C(/C=C/c1ccccc1)Nc1ccccc1,4,train
O=C(Nc1ccccc1)c1cnccn1,4,train
c1c[nH]c(-c2ccncc2)c1,4,train
O=C1C=CC(=O)N1,4,train
c1ccc2[nH]c(Cc3ccncc3)cc2c1,4,train
C1=COc2n[nH]cc2C1,4,train
C1=C(C2CCCCC2)CCCC1,4,train
O=C(COc1ccccc1)NCCN1CCOCC1,4,train
O=C1N[C@H]2NC(=O)N[C@@H]2N1,4,train
C1CC2CCC1C2,4,train
O=C(Cn1ccc2ccccc21)Nc1ccccc1,4,train
c1ccc(-n2nc3ccccc3n2)cc1,4,train
O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,4,train
C(=Nn1cnnn1)c1ccccc1,4,train
O=C1NC(=O)C2NC(=O)NC2N1,4,train
c1ccc2c(c1)CC1NCCc3cccc-2c31,4,train
c1ccc2c(c1)ccc1c3ccccc3ccc21,4,train
O=C1C=C(NCc2ccccc2)C(=O)N1,4,train
c1ccc(-c2noc([C@H]3CCCCN3)n2)cc1,4,train
O=c1ncccn1C1CCCO1,4,train
c1ccc(CN2CCC(N3CCCCC3)CC2)nc1,4,train
c1ccc2c(c1)CCc1ccccc1C2,4,train
O=C(NN=C1C=CCCC1)c1ccccc1,4,train
O=C(c1ccccc1)n1c2c(c3ccccc31)CCCC2,4,train
O=C1CCCN1,4,train
O=C(COc1ccccc1)NCCCc1ccccc1,4,train
O=C1OCCC12CCOC2=O,4,train
c1ccc(-c2cc3ccccn3c2)cc1,4,train
c1ccc(-c2nnc(-c3ccccc3)o2)cc1,4,train
O=C(NNC(=O)C1CCCCC1)c1ccccc1,4,train
c1ccc(-c2ccnc(-c3ccncc3)c2)cc1,4,train
c1ccc(-c2nn[nH]n2)cc1,4,train
c1ccc(Cn2ccnc2)cc1,4,train
O=c1ncccn1[C@H]1CCCO1,4,train
c1ccc2c(c1)ncc1nncn12,3,train
c1ccc(C2NCCO2)cc1,3,train
c1ncc2ncn([C@H]3CCCO3)c2n1,3,train
O=C(C=CNc1ccon1)c1ccccc1,3,train
O=C1O[C@]2(C(=O)N3CCCCC3)CCC1C2,3,train
O=c1c2c(nc3cc(-c4ccccc4)[nH]n13)CCC2,3,train
N=C1c2ccccc2CN1c1ccccc1,3,train
O=C(CC1C(=O)Nc2ccccc21)c1ccco1,3,train
O=C(C1CCCCC1)N1CCOCC1,3,train
C=c1[nH]n(-c2ccccc2)c(=O)c1=C,3,train
O=C(NCCc1ccccc1)Nc1ccccc1,3,train
O=C(Nc1ccccc1)N1CCc2ccccc2C1,3,train
c1ccc(NCc2ccco2)cc1,3,train
O=C1[C@H]2C=NN[C@@H]2C(=O)N1c1ccccc1,3,train
O=C1C2C3CCC(C3)C2C(=O)N1c1ccccc1,3,train
O=C(NCc1ccccc1)[C@@H]1COc2ccccc2O1,3,train
O=C(Nc1cccc2ccccc12)C1CCCCC1,3,train
O=c1cnc2cncnc2[nH]1,3,train
c1ccc(Nc2ccccn2)cc1,3,train
C1=CCC2(CC1)COCOC2,3,train
c1ccc(C(c2ccccc2)c2ccccc2)cc1,3,train
O=c1cccnn1-c1ccccc1,3,train
O=c1cccc2ccccc2c1,3,train
c1ccc2c(c1)CC1CC2CCN1,3,train
c1coc(-c2cc[nH]n2)c1,3,train
O=C(Nc1nn[nH]n1)c1ccccc1,3,train
C(=Nc1ccccc1)c1ccco1,3,train
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,3,train
C1=Cc2ccccc2NC1,3,train
O=c1oc(-c2ccccc2)nc2ccccc12,3,train
O=C(Oc1ccccc1)N1CCCC1,3,train
c1ccc(COCCCN2CCCCC2)cc1,3,train
c1ccc2c(c1)CCO2,3,train
c1ncc2nc[nH]c2n1,3,train
c1ccc(Cc2cc[nH+]cc2)cc1,3,train
c1ccc(Cc2nc(-c3ccccn3)no2)cc1,3,train
c1ccc(Nc2ncnc3ccccc23)cc1,3,train
O=C(Nc1ccccc1)c1ccoc1,3,train
c1ccc(-c2ccn3nccc3n2)cc1,3,train
O=C1NC=CC(c2ccccc2)N1,3,train
O=C(CC1CCCCC1)NCc1ccccc1,3,train
O=C1OC2(C(=O)Nc3ccccn3)CCC1C2,3,train
O=C(COc1ccccc1)Nn1cnnc1,3,train
c1ccc2c(c1)c(NN=C1CCCCC1)nn1cnnc21,3,train
c1ccc(Nc2cnc3ncccn23)cc1,3,train
C1CCN(C2CCNCC2)CC1,3,train
O=C(Nc1ccccc1C1CC1)c1ccccc1,3,train
c1ccc(CN2CCOC2c2ccccc2)cc1,3,train
O=C1COc2ccccc2N1,3,train
O=C(c1cc2ccccc2o1)N1CCNCC1,3,train
c1ccc2c(c1)CNCC21CCCCC1,3,train
O=C1NC(=O)C(c2ccccc2)N1,3,train
c1cc2c3c(cccc3c1)CC2,3,train
O=C(NC1CC1)c1ccccc1,3,train
N=C1OC2CC1CCO2,3,train
O=C(CN1C(=O)NC(=O)C1=O)Nc1ccccc1,3,train
C1CCC(N2CCCCC2)CC1,3,train
O=C(CN1CCCCC1)Nc1ccccc1,3,train
O=c1c2ccccc2nnn1CN1CCOCC1,3,train
c1ccc(N2CCNCC2)nc1,3,train
O=C(Oc1cccc2cccnc12)c1ccccc1,3,train
C(=Cc1nc2ccccc2o1)Nc1ccccc1,3,train
C1=Nc2ccccc2-c2ccccc2N1,3,train
O=C(NCc1ccccc1)c1nc2ncccn2n1,3,train
c1ccc(NC2CCCCC2)cc1,3,train
c1cnc2ncnn2c1,3,train
c1ccc(CN2CCC(N3CCOCC3)CC2)nc1,3,train
O=C(NCc1ncco1)c1ccco1,3,train
c1ccc(Cc2cn3ccccc3n2)cc1,3,train
O=c1c2c([nH]c3ccccc13)OCCC2,3,train
c1ccc(C2CCCN2)cc1,3,train
O=C(NN=Cc1ccccc1)c1cccnc1,3,train
O=C(NCc1ccccc1)C1CCCC1,3,train
O=C(NN=Cc1ccccn1)c1ccccc1,3,train
c1cncc(CN2CCC(N3CCCCC3)CC2)c1,3,train
c1ccc(C2CNCCc3ccccc32)cc1,3,train
c1ccc2nc(N3CCNCC3)ccc2c1,3,train
O=c1cc(Nc2ccccc2)[nH]c(=O)[nH]1,3,train
O=C(CCCc1ccccc1)N1CCOCC1,3,train
C1=CC2CCCN2C1,3,train
c1ccc(Nc2ccnc3ccccc23)cc1,3,train
O=C1CC=CC=CN1CCN1CCCC1,3,train
O=C(Cc1c[nH]c2ccccc12)Nc1ccccc1,3,train
O=C(CCN1CCCCC1)c1ccccc1,3,train
c1ccc2nc3c(nc2c1)[nH]c1ccccc13,3,train
C(=NNc1ccccn1)c1ccccc1,3,train
O=C1CC(Nc2ccccc2)C(=O)N1c1ccccc1,3,train
O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,3,train
c1ccc2[nH]nnc2c1,3,train
O=c1c2cc[nH]c2nc2ccccn12,3,train
O=c1[nH]c(-c2ccccc2)nc2ccccc12,3,train
c1c2c(cc3c1OCO3)CNCC2,3,train
O=C(O[C@H]1CCCNC1)c1ccccc1,3,train
c1ccc(CNc2ccc3[nH]cnc3c2)cc1,3,train
C=C1c2ccccc2CCc2ccccc21,3,train
O=C1c2ccccc2C(=O)N1CCOc1ccccc1,3,train
O=C(CCN(C(=O)c1ccoc1)C1CC1)NC1CC1,3,train
C1COCO1,3,train
C=C(NNC(=O)c1ccccc1)c1ccccc1,3,train
c1ccc2c3c([nH]c2c1)CNCC3,3,train
O=c1ccc2ccc(OCc3ccccc3)cc2o1,3,train
O=C1CCC2C1CCC1c3ccccc3CCC12,3,train
O=C(CCc1ccccc1)Nc1ccncc1,3,train
c1ccc2nc3c(ccc4ccccc43)cc2c1,3,train
c1ccc(OCCn2nnc3ccccc32)cc1,3,train
O=c1nc[nH]c2[nH]cnc12,3,train
O=C(COc1ccccc1)NC1CCCCC1,3,train
O=C(C1CCNCC1)N1CCCCC1,3,train
C=C1C(=O)Nc2ccccc21,3,train
O=C(c1nc2ncccn2n1)N1CCCCC1,3,train
